1.844762074477629632e+00,8.737324839515122621e-01
1.882268435391426076e+00,8.601850092140462811e-01
1.601226143734471252e+00,8.214441392383176055e-01
2.569955402941118017e+00,8.777663247520118839e-01
1.740299797313044738e+00,6.655175339413498259e-01
1.664960591734423678e+00,8.598604514829021328e-01
1.305094312451735128e+00,1.621678808528901117e+00
1.341644961155589177e+00,1.347541441543412821e+00
8.588722084606790208e-01,2.098762044549725925e+00
1.487368988700006112e+00,1.384595283286969902e+00
1.184881596243990032e+00,1.383635919084796218e+00
1.003678442082656774e+00,1.867482112307318198e+00
1.548956479663485597e+00,9.477599414829697144e-01
1.602266918593779232e+00,1.272237545423965166e+00
1.171447177191641043e+00,1.294397031783824037e+00
1.112312727577439153e+00,1.922471893288622669e+00
1.752526112815758763e+00,7.279789030664316485e-01
1.572520719000893630e+00,1.168213738643198329e+00
1.407481320461454022e+00,1.135913312822288246e+00
-2.651943705086849956e-01,2.194879678741299411e+00
2.030652277434601416e+00,4.339541625880303233e-01
1.656369709384159172e+00,1.121259462321911649e+00
1.647448473306759364e+00,9.245282485890923274e-01
1.705486020957155846e+00,1.288106690122742704e+00
1.369681973974292033e+00,1.383757676042132845e+00
1.337026557988932884e+00,9.854749986589012023e-01
1.721633622448929701e+00,9.512371634882631488e-01
1.286112379087392510e+00,1.427306661352032435e+00
1.921909550800439570e+00,7.049447694743762316e-01
1.546982520395599803e+00,1.289954375580907531e+00
2.097150032135228326e+00,2.960636726945167774e-01
1.166874818871715291e+00,1.368211485332869293e+00
6.928391421195826405e-01,2.042732522461299993e+00
2.800150923988795615e+00,-3.750502071371064061e-01
2.339076187981987132e-01,1.803408830673078445e+00
4.987996102960054468e-01,2.510299049067186150e+00
1.374315798116927834e+00,1.294428032260722450e+00
2.318729557788963835e-01,2.566539068164793935e+00
2.236966141733344737e-01,2.259219321947770087e+00
1.132654061930533862e+00,1.039866294915235301e+00
1.896794850660907361e+00,4.708961689941663642e-01
6.383284376937321536e-01,1.930277553835002768e+00
1.132212236990432386e+00,1.615675019325032657e+00
1.313903659342388730e+00,1.285055559923459878e+00
1.397664085159587621e+00,1.418699425209207554e+00
1.826461843336106394e+00,1.019715058138150665e+00
2.291816154198195399e+00,4.546907383849144724e-01
1.126229070309611169e+00,1.456475383671878898e+00
2.150133272219374447e+00,-2.702606892626128327e-02
1.792814577629509687e+00,8.084390582155567273e-01
2.543624046516616555e-01,2.085189706296723067e+00
1.718882502433146664e+00,1.346555899219407548e+00
6.243132318849278217e-01,2.093038083444431319e+00
1.317127569484959126e+00,1.275932873650595489e+00
4.252930962296093687e-01,1.979156825687117927e+00
1.089013826380972105e+00,1.621524303178969895e+00
1.109819176982431044e+00,1.576289867495229924e+00
1.887108603416513208e+00,7.259825303884425152e-01
1.896186190888601741e+00,9.472214362153574818e-01
1.624233619979455812e+00,1.180046628801870723e+00
8.716320357166444932e-01,1.338144216041363688e+00
1.658008370474226334e+00,7.879025430350556913e-01
1.637129714790082513e+00,6.092327061599424054e-01
